"Latitude" "Longitude" "Elevation" "mintemp" "maxtemp" "prcpann" "temprang" "rwsaetswbs" "raetcwd" "prcpsum" "pdaetswb" "pcseas" "cumlswb" "rwsaet" "rswbaet" "rpetaet" "prcpwin" "prcpspr" "prcpfal" "pdwsaetswb" "mxtmpwin" "mxtmpsum" "mxtmpspr" "mxtmpfal" "mntmpwin" "mntmpsu" "mntmpspr" "mntmpfal" "cumlws" "cumlpet" "cumlcwd" "cumlaet"
"ind_52" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_53" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_54" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_55" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_56" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_57" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_58" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_59" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_60" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_61" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_62" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_63" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_64" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_65" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_66" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_67" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_68" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_69" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_70" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_71" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_72" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
"ind_73" 38.72444 -109.30917 1435 -8.48544 34.7831 271.858 44.0798 0.536341 0.464611 59.4686 170.509 0.263745 14.2562 0.960575 0.060448 3.24171 53.655 73.2521 85.4823 4.86402 6.01661 33.6854 17.0292 20.4253 -7.11836 14.9524 3.46203 11.2791 221.068 733.266 733.266 504.741
